Election,Scottish STV Winners,Adaptive Quota STV Winners,Meek STV Winners,Chamberlin-Courant Winners,Greedy Chamberlin-Courant Winners,Expanding Approvals Winners,CPO-STV Winners
east_renfrewshire_2017_ward5.csv,"[8, 3, 1, 5]","[8, 3, 5, 1]","[8, 3, 5, 1]","[1, 3, 4, 8]","[8, 1, 5, 4]","[8, 3, 1, 5]","[1, 3, 5, 8]"
east_renfrewshire_2022_ward1.csv,"[3, 4, 5, 6]","[3, 4, 5, 6]","[3, 4, 5, 6]","[3, 4, 5, 7]","[5, 3, 4, 7]","[5, 3, 4, 6]","[3, 4, 5, 6]"
east_renfrewshire_2022_ward2.csv,"[1, 6, 7]","[1, 6, 7]","[1, 6, 7]","[1, 6, 7]","[7, 6, 1]","[1, 6, 7]","[1, 6, 7]"
edinburgh_2012_ward14.csv,"[2, 7, 4]","[2, 7, 4]","[2, 7, 4]","[2, 3, 7]","[2, 7, 3]","[7, 2, 4]","[2, 4, 7]"
edinburgh_2012_ward15.csv,"[2, 7, 6, 8]","[2, 7, 6, 8]","[2, 7, 6, 8]","[2, 6, 7, 8]","[2, 8, 7, 6]","[2, 7, 8, 6]","[2, 6, 7, 8]"
edinburgh_2012_ward16.csv,"[1, 4, 2, 5]","[1, 4, 2, 7]","[1, 4, 2, 7]","[1, 2, 4, 5]","[1, 2, 5, 4]","[1, 2, 4, 7]","[1, 2, 4, 7]"
edinburgh_2012_ward17.csv,"[2, 1, 8]","[2, 1, 8]","[2, 1, 8]","[1, 2, 6]","[2, 1, 6]","[2, 1, 8]","[1, 2, 8]"
edinburgh_2012_ward3.csv,"[6, 4, 1]","[6, 4, 1]","[6, 1, 4]","[3, 4, 6]","[6, 4, 3]","[6, 4, 1]","[1, 4, 6]"
edinburgh_2017_ward14.csv,"[1, 6, 2, 7]","[1, 6, 2, 7]","[1, 6, 2, 4]","[1, 2, 6, 7]","[1, 2, 6, 7]","[6, 1, 2, 7]","[1, 2, 4, 6]"
edinburgh_2017_ward4.csv,"[2, 3, 1, 4]","[2, 3, 1, 4]","[2, 3, 1, 4]","[1, 2, 3, 5]","[1, 2, 3, 5]","[2, 1, 3, 5]","[1, 2, 3, 4]"
edinburgh_2017_ward5.csv,"[2, 5, 6, 7]","[5, 2, 6, 7]","[5, 2, 6, 7]","[2, 3, 5, 6]","[6, 5, 2, 3]","[5, 1, 6, 7]","[2, 5, 6, 7]"
edinburgh_2022_ward13.csv,"[1, 6, 2]","[1, 6, 2]","[1, 6, 2]","[1, 2, 6]","[1, 2, 6]","[6, 1, 2]","[1, 2, 6]"
edinburgh_2022_ward3.csv,"[1, 3, 8]","[1, 3, 8]","[1, 3, 8]","[1, 2, 3]","[1, 3, 2]","[1, 3, 8]","[1, 3, 8]"
edinburgh_2022_ward4.csv,"[4, 5, 3, 8]","[4, 3, 5, 8]","[4, 3, 5, 8]","[1, 3, 4, 5]","[3, 5, 4, 1]","[4, 6, 3, 5]","[3, 4, 5, 8]"
edinburgh_2022_ward7.csv,"[7, 2, 1, 4]","[7, 2, 1, 4]","[7, 2, 1, 4]","[2, 4, 6, 7]","[2, 7, 6, 4]","[7, 2, 1, 8]","[1, 2, 4, 7]"
eilean_siar_2017_ward1.csv,"[6, 4, 5, 8]","[6, 4, 5, 8]","[6, 4, 5, 8]","[1, 5, 6, 8]","[6, 8, 5, 1]","[6, 4, 5, 8]","[4, 5, 6, 8]"
eilean_siar_2017_ward2.csv,"[7, 4, 3]","[7, 4, 3]","[7, 3, 4]","[3, 4, 7]","[7, 4, 3]","[7, 4, 3]","[3, 4, 7]"
eilean_siar_2017_ward6.csv,"[8, 3, 5, 2]","[8, 3, 5, 2]","[8, 3, 5, 2]","[2, 3, 5, 8]","[8, 3, 2, 5]","[8, 3, 5, 2]","[2, 3, 5, 8]"
eilean_siar_2022_ward2.csv,"[6, 7, 2]","[6, 2, 7]","[6, 2, 7]","[2, 6, 7]","[6, 7, 2]","[6, 7, 2]","[2, 6, 7]"
falkirk_2012_ward2.csv,"[1, 2, 7, 5]","[1, 2, 7, 5]","[1, 2, 7, 5]","[1, 2, 4, 7]","[2, 1, 7, 4]","[2, 1, 7, 5]","[1, 2, 5, 7]"
falkirk_2012_ward3.csv,"[1, 6, 7, 5]","[1, 6, 5, 7]","[1, 6, 7, 5]","[1, 5, 6, 8]","[6, 1, 5, 8]","[6, 1, 7, 5]","[1, 5, 6, 7]"
falkirk_2017_ward8.csv,"[5, 6, 7]","[5, 6, 7]","[5, 6, 7]","[5, 6, 7]","[6, 5, 7]","[6, 5, 8]","[5, 6, 7]"
falkirk_2022_ward2.csv,"[1, 6, 7]","[1, 6, 7]","[1, 6, 4]","[1, 3, 6]","[1, 6, 3]","[1, 6, 7]","[1, 4, 6]"
fife_2012_ward1.csv,"[2, 1, 7, 3]","[2, 1, 7, 3]","[2, 1, 7, 3]","[2, 3, 5, 7]","[2, 7, 3, 5]","[2, 7, 1, 3]","[1, 2, 3, 7]"
fife_2012_ward15.csv,"[2, 3, 5, 1]","[2, 3, 5, 1]","[2, 3, 5, 1]","[1, 2, 3, 7]","[2, 3, 1, 7]","[3, 2, 5, 1]","[1, 2, 3, 5]"
fife_2012_ward22.csv,"[2, 4, 5, 1]","[2, 4, 5, 1]","[2, 4, 5, 1]","[2, 3, 4, 8]","[2, 4, 8, 3]","[2, 1, 5, 4]","[1, 2, 4, 5]"
fife_2012_ward5.csv,"[1, 2, 7]","[1, 2, 7]","[1, 2, 7]","[1, 2, 4]","[1, 2, 4]","[2, 1, 7]","[1, 2, 7]"
