Election,Scottish STV Winners,Meek STV Winners,Chamberlin-Courant (OM) Winners,Chamberlin-Courant (PM) Winners,Expanding Approvals Winners
fife_2017_ward6.csv,"[3, 6, 7, 1]","[3, 6, 2, 7]","[2, 3, 6, 7]","[2, 3, 6, 7]","[3, 7, 6, 2]"
fife_2017_ward7.csv,"[1, 3, 5, 7]","[1, 3, 5, 7]","[1, 3, 5, 7]","[1, 3, 5, 7]","[3, 1, 5, 2]"
fife_2017_ward8.csv,"[1, 3, 5, 7]","[1, 3, 5, 7]","[1, 2, 3, 7]","[1, 2, 3, 7]","[1, 3, 7, 5]"
fife_2022_ward11.csv,"[2, 4, 1]","[1, 2, 4]","[1, 3, 4]","[1, 3, 4]","[2, 1, 4]"
fife_2022_ward16.csv,"[7, 6, 4]","[7, 6, 4]","[3, 6, 7]","[3, 6, 7]","[7, 6, 4]"
glasgow_2017_ward12.csv,"[2, 1, 5]","[2, 1, 5]","[1, 2, 5]","[1, 2, 5]","[2, 5, 3]"
glasgow_2017_ward15.csv,"[4, 5, 7]","[4, 5, 7]","[1, 4, 5]","[1, 4, 5]","[4, 5, 7]"
glasgow_2017_ward2.csv,"[3, 2, 6]","[3, 2, 6]","[2, 3, 6]","[2, 3, 6]","[3, 2, 6]"
glasgow_2017_ward22.csv,"[6, 1, 5]","[1, 6, 5]","[1, 5, 6]","[1, 5, 6]","[1, 6, 5]"
glasgow_2017_ward23.csv,"[2, 4, 1, 6]","[2, 4, 1, 6]","[1, 2, 4, 6]","[1, 2, 4, 6]","[4, 2, 1, 6]"
glasgow_2022_ward20.csv,"[5, 4, 1]","[5, 4, 6]","[1, 4, 5]","[1, 4, 5]","[5, 4, 7]"
glasgow_2022_ward22.csv,"[1, 7, 2]","[1, 7, 2]","[1, 2, 7]","[1, 2, 7]","[7, 1, 2]"
highland_2012_ward11.csv,"[3, 6, 2, 5]","[3, 6, 2, 5]","[2, 3, 5, 6]","[2, 3, 5, 6]","[3, 6, 2, 5]"
highland_2012_ward15.csv,"[1, 4, 6, 5]","[1, 4, 6, 5]","[1, 2, 4, 6]","[1, 2, 4, 6]","[1, 6, 4, 5]"
highland_2012_ward16.csv,"[1, 6, 2, 5]","[1, 6, 2, 5]","[1, 2, 5, 6]","[1, 2, 5, 6]","[6, 1, 2, 5]"
